ClassName,Category,MaxPriceThreshold,MinPriceThreshold,PriceSource
"UAZ_31519_Police","Military",175000,122500,"RUSForma trader list"
"UAZ_31519_Police_MCHS","Military",250000,175000,"category default"
"UAZ_31519_Police_MCHS_rust","Military",250000,175000,"category default"
"UAZ_31519_Police_rust","Military",250000,175000,"category default"
"UAZ_3163_MCHS","Military",250000,175000,"category default"
"UAZ_3163_Police","Military",250000,175000,"category default"
"UAZ_3163_VP","Military",250000,175000,"category default"
"UAZ_3172_camo_Desert","Military",250000,175000,"category default"
"UAZ_3172_camo_flora","Military",250000,175000,"category default"
"UAZ_3172_camo_Winter","Military",250000,175000,"category default"
"UAZ_3962_MCHS","Military",250000,175000,"category default"
"UAZ_3962_milicia","Military",250000,175000,"category default"
"UAZ_469_army","Military",250000,175000,"category default"
"UAZ_469_army_camo","Military",250000,175000,"category default"
"UAZ_469_army_yellow","Military",250000,175000,"category default"
"UAZ_469_milicia","Military",175000,122500,"RUSForma trader list"
"UAZ_Patrot_Pikap_camo_green","Military",250000,175000,"category default"
"vaz_2106_milicia","Military",250000,175000,"category default"
"ZAZ_968_milicia","Military",250000,175000,"category default"
"dodge_power_wagonrus","Offroad",180000,126000,"category default"
"dodge_power_wagonrus_black","Offroad",180000,126000,"category default"
"dodge_power_wagonrus_red","Offroad",180000,126000,"category default"
"dodge_power_wagonrus_white","Offroad",180000,126000,"category default"
"dodge_power_wagonrus_yellow","Offroad",180000,126000,"category default"
"GAZ_69_rus","Offroad",180000,126000,"category default"
"GAZ_69_rus_green","Offroad",180000,126000,"category default"
"GAZ_69_rus_yellow","Offroad",180000,126000,"category default"
"LUAZ_969","Offroad",180000,126000,"category default"
"LUAZ_969_blue","Offroad",180000,126000,"category default"
"LUAZ_969_green","Offroad",180000,126000,"category default"
"LUAZ_969_orang","Offroad",180000,126000,"category default"
"Niva2329","Offroad",170000,119000,"RUSForma trader list"
"patriot_2760_RUS","Offroad",180000,126000,"category default"
"patriot_2760_RUS_black","Offroad",180000,126000,"category default"
"patriot_2760_RUS_black_white","Offroad",180000,126000,"category default"
"patriot_2760_RUS_blue","Offroad",180000,126000,"category default"
"patriot_2760_RUS_rainbow","Offroad",180000,126000,"category default"
"patriot_2760_RUS_rust","Offroad",180000,126000,"category default"
"patriot_2760_RUS_white","Offroad",180000,126000,"category default"
"UAZ_3163","Offroad",170000,119000,"RUSForma trader list"
"UAZ_3163_black","Offroad",180000,126000,"category default"
"UAZ_3163_blue","Offroad",180000,126000,"category default"
"UAZ_3163_emergency_service","Offroad",180000,126000,"category default"
"UAZ_3163_gamekeeper","Offroad",180000,126000,"category default"
"UAZ_3163_green","Offroad",180000,126000,"category default"
"UAZ_3163_Red","Offroad",180000,126000,"category default"
"UAZ_3163_white","Offroad",180000,126000,"category default"
"UAZ_3172","Offroad",180000,126000,"category default"
"UAZ_3172_green","Offroad",180000,126000,"category default"
"UAZ_33094","Offroad",180000,126000,"category default"
"UAZ_33094_gray","Offroad",180000,126000,"category default"
"UAZ_33094_green","Offroad",180000,126000,"category default"
"UAZ_469_Hunter","Offroad",180000,126000,"category default"
"airboat_RUS","Special",220000,154000,"category default"
"artillery_tractor","Special",220000,154000,"category default"
"artillery_tractor_kung","Special",220000,154000,"category default"
"F1_Pickup","Utility",195000,136500,"category default"
"F1_Pickup_green","Utility",195000,136500,"category default"
"GAZ_33081","Utility",165000,115500,"RUSForma trader list"
"gaz_51","Utility",175000,122500,"RUSForma trader list"
"Gaz_53RF_petrol_truck","Utility",195000,136500,"category default"
"GAZ_66","Utility",195000,136500,"RUSForma trader list"
"GAZ_66_kuzov","Utility",195000,136500,"RUSForma trader list"
"ij_2715_RF","Utility",170000,119000,"RUSForma trader list"
"ij_2715_RF_blue","Utility",170000,119000,"RUSForma trader list"
"ij_2715_RF_green","Utility",170000,119000,"RUSForma trader list"
"ij_2715_RF_red","Utility",170000,119000,"RUSForma trader list"
"kamaz_4310RUS","Utility",195000,136500,"category default"
"kamaz_4310RUS_blue","Utility",195000,136500,"category default"
"kamaz_4310RUS_kung","Utility",195000,136500,"category default"
"kamaz_4310RUS_kung_blue","Utility",195000,136500,"category default"
"kamaz_4310RUS_kung_oon","Utility",195000,136500,"category default"
"kamaz_4310RUS_kung_orange","Utility",195000,136500,"category default"
"kamaz_4310RUS_orange","Utility",195000,136500,"category default"
"KAVZ685_RF","Utility",195000,136500,"RUSForma trader list"
"KAVZ685_RF_beige","Utility",195000,136500,"RUSForma trader list"
"KAVZ685_RF_green","Utility",195000,136500,"RUSForma trader list"
"KAVZ685_RF_red","Utility",195000,136500,"RUSForma trader list"
"kraz_255B","Utility",195000,136500,"category default"
"kraz_255B_blue","Utility",195000,136500,"category default"
"kraz_255B_kung","Utility",195000,136500,"category default"
"kraz_255B_kung_blue","Utility",195000,136500,"category default"
"kraz_255B_kung_yellow","Utility",195000,136500,"category default"
"kraz_255B_yellow","Utility",195000,136500,"category default"
"KubanG1","Utility",195000,136500,"category default"
"KubanG1_green","Utility",195000,136500,"category default"
"LIAZ_677RF","Utility",195000,136500,"category default"
"PAZ_672","Utility",170000,119000,"RUSForma trader list"
"PAZ_672_orange","Utility",195000,136500,"category default"
"tractor_UMZ_RUS","Utility",195000,136500,"category default"
"tractor_UMZ_RUS_blue","Utility",195000,136500,"category default"
"UAZ_27722_ambulancia","Utility",195000,136500,"category default"
"UAZ_27722_ambulancia2","Utility",195000,136500,"category default"
"UAZ_27722_blue","Utility",195000,136500,"category default"
"UAZ_27722_brown","Utility",195000,136500,"category default"
"UAZ_27722_red","Utility",195000,136500,"category default"
"UAZ_27722_yellow","Utility",195000,136500,"category default"
"UAZ_3163_Ambulance","Utility",195000,136500,"category default"
"UAZ_3962","Utility",195000,136500,"RUSForma trader list"
"UAZ_3962_green","Utility",195000,136500,"RUSForma trader list"
"UAZ_3962_VAI","Utility",195000,136500,"category default"
"UAZ_Patrot_Pikap","Utility",195000,136500,"category default"
"UAZ_Patrot_Pikap_blue","Utility",195000,136500,"category default"
"UAZ_Patrot_Pikap_green","Utility",195000,136500,"category default"
"UAZ_Patrot_Pikap_red","Utility",195000,136500,"category default"
"UAZ_Patrot_Pikap_white","Utility",195000,136500,"category default"
"URAL_375_1964","Utility",205000,143500,"RUSForma trader list"
"ZIL_130","Utility",195000,136500,"category default"
"ZIL_130_ac40","Utility",195000,136500,"category default"
"ZIL_130_green","Utility",195000,136500,"category default"
"ZIL_130_kung","Utility",195000,136500,"category default"
"ZIL_130_kung_green","Utility",195000,136500,"category default"
"ZIL_131","Utility",195000,136500,"RUSForma trader list"
"ZIL_131_tent","Utility",195000,136500,"RUSForma trader list"
"ZIL_157_kung_rus","Utility",195000,136500,"category default"
"ZIL_157_kung_rus_gray","Utility",195000,136500,"category default"
"ZIL_157_kung_rus_yellow","Utility",195000,136500,"category default"
"ZIL_157_rus","Utility",195000,136500,"category default"
"ZIL_157_rus_gray","Utility",195000,136500,"category default"
"ZIL_157_rus_yellow","Utility",195000,136500,"category default"
"ZIL133_double","Utility",195000,136500,"category default"
"ZIL133_double_green","Utility",195000,136500,"category default"
